# omega_modGR tau_modGR
1.523068026560157477e+03 4.195674569820883985e-03
1.616741438567873502e+03 2.937680107187799240e-03
1.351521895155899074e+03 3.345650602250991625e-03
1.408097099135571852e+03 3.091880437947014566e-03
1.385457348525240377e+03 2.285656666327413877e-03
1.552523829986307646e+03 5.474154370645390420e-03
1.550207279461256576e+03 5.367029702352065119e-03
1.511266474093223451e+03 1.890686611412101216e-03
1.537888884803644260e+03 5.025747275231556843e-03
1.599112311651016626e+03 8.212735268508993339e-03
1.462898418789250172e+03 3.081151955139659060e-03
1.223584304807654007e+03 2.607890518687963101e-03
1.004877919061441389e+03 2.695983770171907039e-03
1.355883396194973557e+03 3.386786235895265264e-03
1.627960546092029972e+03 3.307911098282150398e-03
1.164925220741348994e+03 3.261678041631940143e-03
1.589273134960772722e+03 2.192122715581094287e-03
1.569293214244770297e+03 3.899289360171327452e-03
1.592703069701499317e+03 5.876187859764395692e-03
1.603017592489425397e+03 3.351046810300097739e-03
1.472883859884640060e+03 4.012571840113749767e-03
1.359957455847655410e+03 2.845176529994641098e-03
1.411835231466016921e+03 2.231322315029910571e-03
1.537121592403313798e+03 3.385107056145208321e-03
1.758743838507524515e+03 2.252445511716282250e-03
1.611569194144234871e+03 3.162124117292560745e-03
1.395282979226541329e+03 2.296562515173502638e-03
1.626130930678882123e+03 2.840127124206037832e-03
1.928182128533045216e+03 2.545602506639434940e-03
9.406889167604978184e+02 2.020090454163916537e-03
1.667816911187214828e+03 1.901299420158538561e-03
1.604077115719852827e+03 3.161777014943481078e-03
1.372191111381326209e+03 2.544281984753664697e-03
1.647323757532766422e+03 4.876980570422584545e-03
1.670340524054184925e+03 2.897410937341176902e-03
1.624983705596694108e+03 4.606219947572042471e-03
1.678107084557417693e+03 2.935533597494639421e-03
1.426906189685604431e+03 2.878369158198086555e-03
1.440275915276085925e+03 3.805487545185233956e-03
1.540740707978784485e+03 3.083178259696011878e-03
1.456249538032656119e+03 3.290601154628603961e-03
1.593675820737574668e+03 2.751023892751127374e-03
1.380560703661655907e+03 3.413269782940235239e-03
1.592027845477971596e+03 5.164850608019916009e-03
1.540540750179586212e+03 4.418416124226421347e-03
1.652728352078991975e+03 2.501490034943684975e-03
1.709386068153939505e+03 4.273646418257549123e-03
1.611417971696191898e+03 4.821186580217950816e-03
1.593051569208056208e+03 4.529138470999657939e-03
1.668033502081716733e+03 5.240733583616480687e-03
1.616800586050217589e+03 4.003748219083239947e-03
1.627881715274580529e+03 3.015926187338281977e-03
1.578758843755182397e+03 4.026496592624418357e-03
1.621388727986833374e+03 5.373502707842516858e-03
1.631243788581426770e+03 4.687439448224896277e-03
1.630650270152576468e+03 4.801561210123578456e-03
1.275321543418405327e+03 2.863503851925508319e-03
1.414711803990439648e+03 3.708317343263300200e-03
1.561102528930382277e+03 3.047775491120816721e-03
9.553798697614153070e+02 2.353169472450249936e-03
1.543677019271875452e+03 2.534783636854419549e-03
1.287560280494298695e+03 4.323037202749708575e-03
1.447967370772959612e+03 2.598349092669420980e-03
1.690302914340101552e+03 5.849945866034969924e-03
1.704855775386639607e+03 3.756186585091914488e-03
1.598178970120777421e+03 3.489967294785509006e-03
1.591841392187034899e+03 7.469662436117133902e-03
1.602873422922173631e+03 3.677662782345710729e-03
1.605384453146613168e+03 5.035703250045102559e-03
1.457034013548818848e+03 3.352909526493803687e-03
1.487909060864645426e+03 3.478788212742287781e-03
1.697237361856113694e+03 4.287395119087360033e-03
1.483173196378014381e+03 3.433543862837428514e-03
1.586908212977659559e+03 5.555997421014005795e-03
1.635147516728082110e+03 3.235735027043431730e-03
1.615596950402577704e+03 3.007929482646729338e-03
1.553902122186243787e+03 4.499016081660097734e-03
1.651177579290927497e+03 2.372132795612795150e-03
1.543123909771903755e+03 2.174504553999551809e-03
1.691813150408315096e+03 2.205271760328082579e-03
1.453865599907295973e+03 2.698025430451343569e-03
1.430777828308224343e+03 2.794441464213828340e-03
1.534545098163671128e+03 2.875535304161265428e-03
1.548557032407805309e+03 3.279642316967761647e-03
1.097765315431102181e+03 1.798400185262830379e-03
1.574750605380905654e+03 7.710099563692960137e-03
1.598502766100319604e+03 7.365135990465195188e-03
1.551114365366201582e+03 4.691398710342072759e-03
1.680429175135988771e+03 4.771553544383878680e-03
1.441914821208114745e+03 3.633599999829587555e-03
1.492803906585326331e+03 3.307551805991498090e-03
1.523613129293639531e+03 5.349812562205308146e-03
1.750544236299156864e+03 4.652809445929727977e-03
1.762156795302515320e+03 5.692020055814314000e-03
1.769951941707002788e+03 5.351377906909423471e-03
1.658557547210790290e+03 5.327147322645286315e-03
1.593237921143036374e+03 4.152131764583016568e-03
1.648236321083368239e+03 4.902460041592856740e-03
1.606845117263222619e+03 5.081756281891289598e-03
1.588167417368699716e+03 4.154940851890969421e-03
1.577111462522291731e+03 3.846450418899716086e-03
1.557210560769233552e+03 7.947714349906122994e-03
1.579650162258069713e+03 4.936717323515960737e-03
1.556105157005452156e+03 4.493917971173066496e-03
1.419073758489973898e+03 2.525279598337716244e-03
1.599692957418844571e+03 3.850492769366264771e-03
1.502219805960469557e+03 2.835516933156795923e-03
1.536579410181249386e+03 3.462355634435297994e-03
1.584559816460687671e+03 2.714546104688552071e-03
1.381071742711498018e+03 3.125496238497142785e-03
1.233737924110298763e+03 2.416469234597304772e-03
1.632639567897818552e+03 5.213384095073028170e-03
1.626495424598440877e+03 4.583391454730345420e-03
1.341478644037320009e+03 2.516300931826571594e-03
1.282789057179021484e+03 2.125238311560900123e-03
1.676188421351897887e+03 4.333545709714714360e-03
1.567017294913597425e+03 5.796958761848852726e-03
1.614125178337790203e+03 4.284407404757375679e-03
1.505070511120822175e+03 3.242745870749764395e-03
1.450467145458753066e+03 4.574394343319644271e-03
1.250101976565409359e+03 2.894527546094888097e-03
1.672528646089805989e+03 5.124601964263245969e-03
1.474484242084024118e+03 4.474678505238905563e-03
1.508798862807011119e+03 4.153254807651066138e-03
1.600531677934351364e+03 5.089072755326400424e-03
1.579326926628243200e+03 4.108267200228566014e-03
1.705456683344075827e+03 4.290793812271737930e-03
1.524992046812092894e+03 4.463363781869039704e-03
1.161737027145288266e+03 1.571579973694925934e-03
1.589991346110671429e+03 4.845717683199222275e-03
1.590836597354210198e+03 4.750695626619247033e-03
1.634603501582443641e+03 2.917869027078865644e-03
1.700229483308090266e+03 3.606950433633853911e-03
1.653272658232930098e+03 5.966614725512722241e-03
1.404196769962425378e+03 2.382441547318045819e-03
1.152953445143827594e+03 2.344109477055665840e-03
1.380762998237135434e+03 3.222917365792154869e-03
