# mf_modGR af_modGR
6.801238634527474858e+01 5.972186398409302654e-01
7.572907332505423028e+01 7.174699947795390997e-01
7.527871635764195446e+01 8.007412240735534148e-01
4.327454943804227838e+01 -1.182842257867628977e-01
3.660341670709916428e+01 -3.683508434442854806e-01
8.406010146898464086e+01 8.833252121212923358e-01
6.408764745516212713e+01 5.869783252145290842e-01
6.869365142572591765e+01 8.090416294808455699e-01
3.995815819885014264e+01 -8.770370307124712994e-01
3.657300187760289845e+01 -2.284383818485073991e-01
7.126252258330478639e+01 7.001523889577005999e-01
7.052664894439207899e+01 7.205635073109252220e-01
5.868395001006275891e+01 5.020462938855310142e-01
1.711151119313276325e+01 -3.120705527239649335e+00
1.413599638281914705e+00 -7.064851868108952715e+00
4.354339776891301739e+01 6.923885914867633495e-02
7.866507802476752431e+01 8.699695842908565790e-01
7.394593113402797258e+01 8.231733702678798448e-01
6.743478570273872208e+01 7.855113410516271211e-01
6.482375286313693152e+01 5.479940352939993709e-01
6.640926730921462706e+01 8.118377019088741653e-01
5.250141906876259412e+01 5.089310648148090976e-01
8.061103433716105826e+01 8.640284060677478895e-01
8.697654882212832206e+01 9.209969026661358749e-01
6.203549652661903480e+01 6.456636460429787672e-01
1.911177158946188825e+01 -3.134863951206124710e+00
4.704473354226413306e+01 -7.707083113838741895e-02
6.787009169036433320e+01 -1.375926000087712708e-01
8.934405136917467871e+01 1.447787161328655259e-01
6.439101936284231442e+01 5.227793668208153832e-01
4.947166907630766275e+01 1.739848758986394239e-01
6.498758136068721569e+01 7.320393362071234700e-01
6.772898936192062536e+01 8.326746076890707560e-01
2.774381605194452405e+01 -1.516922741169064448e+00
5.022981418941785847e+01 1.840517840795226068e-01
4.410106536361198692e+01 -1.509256088967947385e-02
6.847588626639631570e+01 7.014531137760534607e-01
6.886834692054696916e+01 7.437116335086009222e-01
4.866501922778560640e+01 2.716177429943732458e-01
